# CDC Weekly counts of deaths by state and select causes
# 2019 - 2021
# export of https://data.cdc.gov/NCHS/Weekly-Counts-of-Deaths-by-State-and-Select-Causes/muzy-jte6
# Last update 11-20-2021
# Column 1 and Columns after S of the raw CDC data removed for clarity.

Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)"
Alabama,2020,1,1/4/2020,1082,1009,15,196,25,54,28,86,13,25,25,268,81,0,0
Alabama,2020,2,1/11/2020,1127,1060,25,197,17,41,27,72,20,23,34,274,68,0,0
Alabama,2020,3,1/18/2020,1039,976,28,201,24,53,31,73,21,23,24,239,45,0,0
Alabama,2020,4,1/25/2020,1056,982,16,190,23,54,29,61,11,14,23,284,70,,0
Alabama,2020,5,2/1/2020,1026,949,15,157,16,58,31,76,17,20,23,265,55,0,0
Alabama,2020,6,2/8/2020,1120,1028,26,191,24,45,28,70,20,24,27,304,52,0,0
Alabama,2020,7,2/15/2020,1095,1020,17,193,24,50,35,74,23,18,25,255,81,0,0
Alabama,2020,8,2/22/2020,1098,1018,17,222,29,47,25,65,12,12,15,285,74,0,0
Alabama,2020,9,2/29/2020,1164,1093,20,212,28,62,30,88,20,21,25,294,60,,
Alabama,2020,10,3/7/2020,1057,953,18,144,25,65,34,60,24,23,22,265,57,0,0
Alabama,2020,11,3/14/2020,1091,1013,16,199,31,65,30,75,28,27,20,265,69,0,0
Alabama,2020,12,3/21/2020,1059,986,17,227,25,46,26,67,24,22,16,263,72,,
Alabama,2020,13,3/28/2020,1073,989,15,188,23,67,26,75,24,15,21,244,69,23,20
Alabama,2020,14,4/4/2020,1156,1077,27,202,34,74,23,67,24,22,25,257,68,49,45
Alabama,2020,15,4/11/2020,1135,1056,25,166,31,63,18,60,20,17,28,265,64,81,77
Alabama,2020,16,4/18/2020,1149,1053,20,183,35,62,18,67,21,17,19,249,62,89,85
Alabama,2020,17,4/25/2020,1139,1037,20,200,28,55,24,53,12,17,12,265,63,85,78
Alabama,2020,18,5/2/2020,1147,1048,17,197,22,57,26,67,19,24,10,271,62,81,75
Alabama,2020,19,5/9/2020,1171,1084,17,201,28,45,12,58,18,15,22,305,52,116,105
Alabama,2020,20,5/16/2020,1148,1049,19,203,29,47,15,71,17,21,22,259,49,96,89
Alabama,2020,21,5/23/2020,1153,1055,22,192,22,62,18,53,15,21,25,282,55,82,78
Alabama,2020,22,5/30/2020,1109,999,23,161,29,53,21,52,14,15,23,241,47,103,99
Alabama,2020,23,6/6/2020,1173,1071,27,212,20,48,16,62,19,15,15,290,55,91,86
Alabama,2020,24,6/13/2020,1138,1031,14,176,23,53,11,65,17,24,19,280,58,81,75
Alabama,2020,25,6/20/2020,1090,1007,29,198,22,48,12,62,16,17,25,257,55,88,81
Alabama,2020,26,6/27/2020,1151,1064,12,222,23,60,16,55,15,17,18,266,67,103,95
Alabama,2020,27,7/4/2020,1201,1112,14,221,30,59,13,60,,18,25,296,49,125,119
Alabama,2020,28,7/11/2020,1265,1177,17,217,31,62,12,64,14,19,23,305,72,135,122
Alabama,2020,29,7/18/2020,1289,1201,23,203,24,68,22,71,17,19,24,273,66,192,172
Alabama,2020,30,7/25/2020,1333,1257,21,212,28,65,17,69,10,20,22,285,78,251,241
Alabama,2020,31,8/1/2020,1364,1269,15,198,23,56,25,74,21,20,15,310,71,263,238
Alabama,2020,32,8/8/2020,1379,1288,15,177,32,40,21,76,14,17,27,291,69,264,253
Alabama,2020,33,8/15/2020,1305,1207,,166,26,60,20,68,21,15,24,291,74,230,214
Alabama,2020,34,8/22/2020,1303,1219,16,193,22,55,17,58,13,21,26,293,75,209,197
Alabama,2020,35,8/29/2020,1216,1129,19,191,24,54,17,62,19,20,22,249,56,185,175
Alabama,2020,36,9/5/2020,1216,1132,22,212,24,61,14,65,12,15,12,258,60,156,142
Alabama,2020,37,9/12/2020,1232,1148,17,198,28,66,12,59,19,23,21,295,49,138,130
Alabama,2020,38,9/19/2020,1200,1132,18,226,20,56,17,69,20,20,15,257,62,139,134
Alabama,2020,39,9/26/2020,1183,1109,21,203,35,65,20,62,13,15,22,261,58,105,100
Alabama,2020,40,10/3/2020,1103,1010,14,181,28,47,20,55,11,20,10,260,47,111,99
Alabama,2020,41,10/10/2020,1204,1120,15,189,28,58,18,63,20,21,20,303,61,137,127
Alabama,2020,42,10/17/2020,1190,1114,20,198,28,60,12,59,19,21,18,259,69,126,112
Alabama,2020,43,10/24/2020,1142,1056,18,200,16,54,20,54,16,19,15,276,47,119,112
Alabama,2020,44,10/31/2020,1169,1093,22,187,23,62,23,47,23,12,20,278,60,131,119
Alabama,2020,45,11/7/2020,1277,1183,15,215,27,54,14,54,18,23,21,296,65,151,141
Alabama,2020,46,11/14/2020,1269,1186,16,209,27,64,13,62,19,24,21,289,58,176,165
Alabama,2020,47,11/21/2020,1275,1176,11,195,29,69,17,58,13,27,22,267,61,168,155
Alabama,2020,48,11/28/2020,1326,1237,24,206,26,57,17,64,14,27,24,291,54,202,186
Alabama,2020,49,12/5/2020,1355,1259,30,177,32,63,14,66,28,14,22,300,66,251,239
Alabama,2020,50,12/12/2020,1598,1509,21,228,47,82,21,56,23,24,25,299,70,378,362
Alabama,2020,51,12/19/2020,1584,1485,13,195,31,71,31,69,17,26,29,310,70,390,363
Alabama,2020,52,12/26/2020,1626,1554,23,195,46,74,17,66,25,25,25,329,60,452,422
Alabama,2020,53,1/2/2021,1803,1702,22,200,35,79,21,70,26,26,37,325,77,509,480
Alabama,2021,1,1/9/2021,1807,1705,21,223,36,70,19,79,27,24,33,335,62,546,527
Alabama,2021,2,1/16/2021,1830,1739,16,211,47,66,25,62,22,24,28,346,67,595,569
Alabama,2021,3,1/23/2021,1787,1688,16,194,39,63,19,64,26,33,27,336,63,579,546
Alabama,2021,4,1/30/2021,1637,1559,20,206,37,63,20,74,24,22,21,311,63,490,460
Alabama,2021,5,2/6/2021,1507,1409,22,216,24,66,23,69,19,22,27,302,62,344,331
Alabama,2021,6,2/13/2021,1430,1334,21,201,30,66,15,67,25,19,20,326,77,263,247
Alabama,2021,7,2/20/2021,1331,1251,31,195,37,62,20,45,27,18,21,312,62,214,192
Alabama,2021,8,2/27/2021,1312,1218,21,182,21,57,22,59,18,14,20,324,74,170,152
Alabama,2021,9,3/6/2021,1158,1050,18,201,21,50,22,42,27,26,19,260,58,110,93
Alabama,2021,10,3/13/2021,1189,1092,12,176,25,46,21,65,16,25,29,265,53,104,93
Alabama,2021,11,3/20/2021,1057,976,27,166,24,60,18,49,15,22,20,233,49,81,72
Alabama,2021,12,3/27/2021,1189,1073,28,156,34,47,22,58,24,19,26,300,92,78,68
Alabama,2021,13,4/3/2021,1104,1004,18,189,26,41,19,69,15,18,26,239,64,66,56
Alabama,2021,14,4/10/2021,1205,1100,20,204,28,47,20,55,27,23,30,289,69,53,49
Alabama,2021,15,4/17/2021,1165,1073,25,226,38,49,16,54,19,18,26,267,53,43,38
Alabama,2021,16,4/24/2021,1103,1012,27,204,35,44,25,49,19,13,23,279,54,45,38
Alabama,2021,17,5/1/2021,1191,1106,26,216,23,50,21,64,26,25,26,303,58,46,41
Alabama,2021,18,5/8/2021,1150,1051,16,209,38,41,10,73,24,20,32,264,57,63,60
Alabama,2021,19,5/15/2021,1093,992,20,180,24,48,15,68,16,30,25,272,59,50,46
Alabama,2021,20,5/22/2021,1093,1007,16,184,22,59,17,56,16,17,21,288,51,49,39
Alabama,2021,21,5/29/2021,1072,993,24,208,21,59,17,58,22,18,21,271,54,33,24
Alabama,2021,22,6/5/2021,1079,982,18,184,22,46,20,65,20,19,24,288,61,36,31
Alabama,2021,23,6/12/2021,1103,1003,19,199,23,61,18,59,25,15,19,272,68,34,31
Alabama,2021,24,6/19/2021,1122,1018,23,218,27,34,21,55,12,32,19,266,63,24,17
Alabama,2021,25,6/26/2021,1073,991,25,163,36,30,16,68,15,20,29,279,63,36,28
Alabama,2021,26,7/3/2021,1056,949,22,203,25,47,13,45,12,22,29,249,72,21,20
Alabama,2021,27,7/10/2021,1130,1024,24,206,19,47,18,45,19,16,25,302,56,37,34
Alabama,2021,28,7/17/2021,1047,969,24,180,30,40,16,62,14,16,25,240,54,42,40
Alabama,2021,29,7/24/2021,1099,992,23,188,37,46,15,74,14,28,28,258,41,63,57
Alabama,2021,30,7/31/2021,1159,1077,26,192,28,52,18,55,15,23,30,266,49,107,101
Alabama,2021,31,8/7/2021,1313,1220,20,195,30,42,15,55,12,19,35,288,70,226,212
Alabama,2021,32,8/14/2021,1425,1345,20,219,36,50,12,63,26,19,26,283,70,342,325
Alabama,2021,33,8/21/2021,1563,1479,20,199,31,48,19,77,13,26,30,321,60,418,399
Alabama,2021,34,8/28/2021,1586,1524,20,195,47,55,13,67,13,16,46,303,68,469,452
Alabama,2021,35,9/4/2021,1575,1485,18,182,32,41,21,50,20,31,39,291,59,492,471
Alabama,2021,36,9/11/2021,1710,1625,25,184,30,49,32,67,18,23,51,318,81,538,521
Alabama,2021,37,9/18/2021,1553,1466,17,192,24,62,23,62,16,22,38,302,52,466,448
Alabama,2021,38,9/25/2021,1410,1318,22,186,29,57,14,47,12,21,37,240,62,404,388
Alabama,2021,39,10/2/2021,1450,1346,20,202,29,42,17,62,10,21,39,257,60,356,342
Alabama,2021,40,10/9/2021,1297,1213,25,193,29,50,19,64,17,16,41,298,61,245,233
Alabama,2021,41,10/16/2021,1171,1045,15,204,28,49,16,44,16,20,41,204,66,202,190
Alabama,2021,42,10/23/2021,1034,855,26,174,15,41,22,57,21,16,34,215,53,140,128
Alabama,2021,43,10/30/2021,831,542,11,150,18,39,10,42,,19,23,192,38,84,78
Alabama,2021,44,11/6/2021,601,174,,101,12,30,13,36,,12,19,146,37,46,41
Alaska,2020,1,1/4/2020,89,71,,16,,,0,,0,,0,17,,0,0
Alaska,2020,2,1/11/2020,105,93,,22,,,0,,,,0,24,,0,0
Alaska,2020,3,1/18/2020,99,83,,21,,,0,,,,0,15,,0,0
Alaska,2020,4,1/25/2020,97,82,,21,,,0,,0,,,19,,0,0
Alaska,2020,5,2/1/2020,85,74,,17,,,,,,0,,20,,0,0
Alaska,2020,6,2/8/2020,92,75,0,15,,,,,,,,22,,0,0
Alaska,2020,7,2/15/2020,89,74,,20,,,0,,,,0,19,,0,0
Alaska,2020,8,2/22/2020,83,64,,16,,,,,,0,,,,0,0
Alaska,2020,9,2/29/2020,84,76,,18,,0,,,,,,14,,0,0
Alaska,2020,10,3/7/2020,79,68,,20,0,,,,,,0,15,,0,0
Alaska,2020,11,3/14/2020,92,80,,20,,0,,,,0,,22,,0,0
Alaska,2020,12,3/21/2020,69,55,0,,,,,,,,,10,,0,0
